Ua	m7	m3	1	5	I
180.000	3.460	13.380	0.000	0.000	13.889
190.000	4.360	0.000	0.000	0.000	13.158
200.000	5.250	0.000	0.000	0.000	12.500
210.000	6.310	0.000	0.000	0.000	11.905
220.000	7.430	0.000	0.000	0.000	11.364
230.000	8.610	0.000	0.000	0.000	10.870
240.000	9.870	0.000	0.000	0.000	10.417
